movie_id,title,budget,budget_log,revenue_usd,release_year,release_month,is_action,is_comedy,is_drama,is_horror,is_sciencefiction,is_animation,is_romance,is_thriller,num_genres,primary_genre,director_name,lead_actor,director_avg_past_rating,lead_actor_avg_rating,sidecast_avg_rating,genre_trend_score,imdb_rating
4234,Scream 3,40000000,17.50439003707821,161834276,2000,2,0,0,0,1,0,0,0,0,2,Horror,Wes Craven,David Arquette,6.24,6.55,6.413333333333334,6852517.354639173,5.7
2067,Mission to Mars,90000000,18.31532023940565,60874615,2000,3,0,0,0,0,1,0,0,0,1,Science Fiction,Brian De Palma,Gary Sinise,6.8125,6.62,6.937500000000001,-96547470.63157895,5.7
462,Erin Brockovich,52000000,17.76675429577647,256271286,2000,3,0,0,1,0,0,0,0,0,1,Drama,Steven Soderbergh,Julia Roberts,6.55,6.409999999999999,6.3,14072463.71239534,7.1
11478,The Skulls,15000000,16.52356082573315,35007180,2000,3,0,0,1,0,0,0,0,1,3,Crime,Rob Cohen,Joshua Jackson,6.1,6.5,5.938888888888889,-11635130.85555555,5.8
98,Gladiator,103000000,18.450239555902648,457640427,2000,5,1,0,1,0,0,0,0,0,3,Action,Ridley Scott,Russell Crowe,6.859999999999999,6.539999999999999,6.583333333333334,-52093800.19158268,7.9
2123,"Me, Myself & Irene",51000000,17.747336210296442,149270999,2000,6,0,1,0,0,0,0,0,0,1,Comedy,Bobby Farrelly,Jim Carrey,6.566666666666666,6.363636363636363,6.316666666666666,20599294.192616373,6.1
2655,What Lies Beneath,100000000,18.420680753952364,155464351,2000,7,0,0,1,1,0,0,0,1,4,Drama,Robert Zemeckis,Harrison Ford,7.366666666666667,6.958823529411765,6.172222222222222,14072463.71239534,6.3
5551,Space Cowboys,65000000,17.989897843244528,128884132,2000,7,1,0,0,0,0,0,0,1,3,Action,Clint Eastwood,Clint Eastwood,6.766666666666667,6.8,6.524761904761904,-52093800.19158268,6.3
8871,How the Grinch Stole Christmas,123000000,18.627694921466773,345141403,2000,11,0,1,0,0,0,0,0,0,3,Family,Ron Howard,Jim Carrey,6.599999999999999,6.341666666666666,6.266666666666666,-60863203.310810804,6.2
8358,Cast Away,90000000,18.31532023940565,429632142,2000,12,0,0,1,0,0,0,0,0,2,Adventure,Robert Zemeckis,Tom Hanks,7.214285714285714,7.290909090909091,6.6,9222134.306257516,7.5
1900,Traffic,48000000,17.6867115897055,207515725,2000,12,0,0,1,0,0,0,0,1,3,Thriller,Steven Soderbergh,Michael Douglas,6.733333333333333,6.585714285714286,6.608333333333333,-40017987.27586207,6.9
676,Pearl Harbor,140000000,18.757152987716434,449220945,2001,5,0,0,0,0,0,0,1,0,3,History,Michael Bay,Ben Affleck,6.6000000000000005,6.574999999999999,6.588952380952381,344075803.5294118,6.6
9799,The Fast and the Furious,38000000,17.453096744006448,207283925,2001,6,1,0,0,0,0,0,0,1,3,Action,Rob Cohen,Paul Walker,6.0,5.2,6.6875,-80619347.58541209,6.6
644,A.I. Artificial Intelligence,100000000,18.420680753952364,235926552,2001,6,0,0,1,0,1,0,0,0,3,Drama,Steven Spielberg,Haley Joel Osment,7.153333333333333,7.35,6.213333333333334,-2652431.688920453,6.8
869,Planet of the Apes,100000000,18.420680753952364,362211740,2001,7,1,0,0,0,1,0,0,1,4,Thriller,Tim Burton,Mark Wahlberg,6.933333333333334,6.383333333333334,6.530000000000001,86297955.47413793,5.6
12610,Osmosis Jones,75000000,18.132998684833918,13596911,2001,8,1,1,0,0,0,1,0,0,5,Adventure,Bobby Farrelly,Chris Rock,6.449999999999999,6.8,6.245833333333334,59656176.63959086,5.9
2294,Jay and Silent Bob Strike Back,22000000,16.906553056777135,33788161,2001,8,0,1,0,0,0,0,0,0,1,Comedy,Kevin Smith,Kevin Smith,6.925,7.050000000000001,6.822222222222221,-7249344.283574104,6.4
10016,Ghosts of Mars,28000000,17.147715103853763,14010832,2001,8,1,0,0,1,1,0,0,0,3,Action,John Carpenter,Natasha Henstridge,6.750000000000001,5.35,6.5216666666666665,-80619347.58541209,4.8
3172,Bandits,75000000,18.132998684833918,67631903,2001,10,1,1,0,0,0,0,1,0,4,Action,Barry Levinson,Bruce Willis,6.733333333333333,6.625000000000001,6.85,-80619347.58541209,6.2
9889,Shallow Hal,40000000,17.50439003707821,141069860,2001,11,0,1,0,0,0,0,1,0,2,Comedy,Bobby Farrelly,Gwyneth Paltrow,6.339999999999999,6.833333333333333,6.125,-7249344.283574104,5.7
1535,Spy Game,92000000,18.33729914588288,143049560,2001,11,1,0,0,0,0,0,0,1,3,Action,Tony Scott,Robert Redford,6.514285714285715,7.2,6.7975,-80619347.58541209,6.8
161,Ocean's Eleven,85000000,18.258161826219297,450717150,2001,12,0,0,0,0,0,0,0,1,2,Thriller,Steven Soderbergh,George Clooney,6.775,6.414285714285714,6.767929292929293,86297955.47413793,7.2
453,A Beautiful Mind,60000000,17.909855136853043,313542341,2001,12,0,0,1,0,0,0,1,0,2,Drama,Ron Howard,Russell Crowe,6.499999999999999,6.766666666666666,6.934,-2652431.688920453,7.7
120,The Lord of the Rings: The Fellowship of the Ring,93000000,18.34811006187022,871368364,2001,12,1,0,0,0,0,0,0,0,3,Adventure,Peter Jackson,Elijah Wood,7.0,5.999999999999999,6.449166666666667,59656176.63959086,8.0
855,Black Hawk Down,92000000,18.33729914588288,172989651,2001,12,1,0,0,0,0,0,0,0,3,Action,Ridley Scott,Josh Hartnett,7.033333333333332,6.633333333333333,6.572916666666666,-80619347.58541209,7.2
1576,Resident Evil,33000000,17.312018149733785,102984862,2002,3,1,0,0,1,1,0,0,0,3,Horror,Paul W.S. Anderson,Milla Jovovich,6.0,6.299999999999999,6.6,-7212323.34536083,6.4
4547,Panic Room,48000000,17.6867115897055,196397415,2002,3,0,0,1,0,0,0,0,1,3,Crime,David Fincher,Jodie Foster,7.525,7.766666666666667,6.788888888888889,22226904.215873018,6.5
